Department,Department Title,Division (Organization Detail within Department),Division Title,Program (Service),Program Title,General Fund Support (GFS) or Self-Supporting Fund,Fund,Subfund Title,Type of Revenue or Expenditure,Character,Character Title,Object,Object Title,Subobject,Subobject Title,FY 2010-2011 Original Budget,FY 2011-2012 Original Budget
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,15,HEALTH SERVICE,01501,HEALTH SERVICE-CITY MATCH,$309571.00,$319322.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,15,HEALTH SERVICE,01571,DEPENDENT COVERAGE-MISCELLANEOUS,$207925.00,$203711.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,16,DENTAL COVERAGE,01601,DENTAL COVERAGE,$79534.00,$76341.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,17,UNEMPLOYMENT INSURANCE,01701,UNEMPLOYMENT INSURANCE,$8662.00,$10555.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,19,OTHER FRINGE BENEFITS,01911,FLEXIBLE BENEFIT PACKAGE,$11658.00,$12812.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,19,OTHER FRINGE BENEFITS,01912,LONG TERM DISABILITY INSURANCE,$15404.00,$14944.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,27,PROFESSIONAL & SPECIALIZED SERVICES,02799,OTHER PROFESSIONAL SERVICES,$121873.00,$121873.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,28,MAINTENANCE SVCS-BUILDING & STRUCTURES,02899,OTHER BLDG MAINT SVCS,$486265.00,$486265.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,35,OTHER CURRENT EXPENSES,03500,OTHER CURRENT EXPENSES - BUDGET,$586490.00,$586490.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081CB,GF-RISK MANAGEMENT SERVICES (AAO),$265838.00,$375756.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081CI,IS-TIS-ISD SERVICES-INFRASTRUCTURE COST,$49231.00,$48833.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081ET,GF-TIS-TELEPHONE(AAO),$70238.00,$43861.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081H3,GF-HR-WORKERS' COMP CLAIMS,$10138.00,$6831.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081HE,EF-SFGH-MEDICAL SERVICE,$2000.00,$2000.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081HT,GF-CHS-TOXICS WASTE & HAZARD MAT SVC,$2000.00,$2000.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081UL,GF-PUC-LIGHT HEAT & POWER,$363394.00,$356183.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081W1,PUC SEWER SERVICE CHARGES,$46000.00,$42300.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081W2,EF-PUC-WATER CHARGES,$24150.00,$21800.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081WB,SR-DPW-BUILDING REPAIR,$10000.00,$10000.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Regular Revenues,120,OTHER LOCAL TAXES,122,HOTEL ROOM TAX,12210,HOTEL ROOM TAX,$2229000.00,$2229000.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAP,GF-ANNUAL PROJECT,Facilities Maintenance,,FACILITIES MAINTENANCE,,FACILITIES MAINTENANCE PROJECTS-BUDGET,06F00,FACILITIES MAINTENANCE-BUDGET,$150000.00,$150000.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,1,PERMANENT SALARIES-MISC,00101,MISC-REGULAR,$4946350.00,$5082868.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,5,TEMP SALARIES-MISC,00501,TEMP-REGULAR-MISC,$198532.00,$198532.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,9,PREMIUM PAY,00901,PREMIUM PAY - MISC,$4608.00,$4608.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,11,OVERTIME,01101,OVERTIME - MISC,$10461.00,$10461.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,13,RETIREMENT,01301,RETIRE CITY MISC,$670722.00,$919490.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,13,RETIREMENT,01371,RETIREMENT PICK UP,$68968.00,$0.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,14,SOCIAL SECURITY,01401,SOCIAL SECURITY (OASDI & HI),$296079.00,$303771.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,14,SOCIAL SECURITY,01402,SOCIAL SECURITY - MEDICARE (HI ONLY),$74821.00,$76803.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,15,HEALTH SERVICE,01501,HEALTH SERVICE-CITY MATCH,$341849.00,$361041.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,15,HEALTH SERVICE,01571,DEPENDENT COVERAGE-MISCELLANEOUS,$220694.00,$222104.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,16,DENTAL COVERAGE,01601,DENTAL COVERAGE,$86698.00,$84563.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,17,UNEMPLOYMENT INSURANCE,01701,UNEMPLOYMENT INSURANCE,$12901.00,$15892.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,19,OTHER FRINGE BENEFITS,01911,FLEXIBLE BENEFIT PACKAGE,$48946.00,$54364.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,19,OTHER FRINGE BENEFITS,01912,LONG TERM DISABILITY INSURANCE,$19630.00,$19257.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,21,TRAVEL,02103,AIR TRAVEL - EMPLOYEES,$4000.00,$4000.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,21,TRAVEL,02105,NON-AIR TRAVEL - EMPLOYEES,$7700.00,$7700.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,22,TRAINING,02200,TRAINING - BUDGET,$5100.00,$5100.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,24,MEMBERSHIP FEES,02401,MEMBERSHIP FEES,$197970.00,$197970.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,27,PROFESSIONAL & SPECIALIZED SERVICES,02700,PROFESSIONAL & SPECIALIZED SVCS-BUDGET,$13721.00,$13721.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,21,NON PERSONNEL SERVICES,35,OTHER CURRENT EXPENSES,03500,OTHER CURRENT EXPENSES - BUDGET,$33051.00,$33051.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,40,MATERIALS & SUPPLIES,40,MATERIALS & SUPPLIES BUDGET ONLY,04000,MATERIALS & SUPPLIES-BUDGET,$90038.00,$80038.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081C0,GF-CON-MANAGEMENT SERVICES,$13975.00,$0.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081C3,GF-CON-FINANCIAL SYSTEMS,$0.00,$13975.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081C5,IS-TIS-ISD SERVICES,$9107.00,$8735.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081CB,GF-RISK MANAGEMENT SERVICES (AAO),$15000.00,$15000.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081CI,IS-TIS-ISD SERVICES-INFRASTRUCTURE COST,$36659.00,$72835.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081ET,GF-TIS-TELEPHONE(AAO),$28945.00,$21240.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081H0,GF-HR-EQUAL EMPLOYMENT OPPORTUNITY,$30775.00,$30775.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081H7,GF-HR-EMPLOYEE RELATIONS,$123554.00,$123554.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081HE,EF-SFGH-MEDICAL SERVICE,$3900.00,$3900.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081HT,GF-CHS-TOXICS WASTE & HAZARD MAT SVC,$25000.00,$25000.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081PA,IS-PURCH-CENTRAL SHOPS-AUTO MAINT,$500.00,$500.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081PE,IS-PURCH-VEHICLE LEASING (AAO),$6386.00,$6386.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081PF,IS-PURCH-CENTRAL SHOPS-FUEL STOCK,$2701.00,$2701.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081PM,GF-PURCH-MAIL SERVICES,$5324.00,$4785.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081PR,IS-PURCH-REPRODUCTION,$15418.00,$6712.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,81,SERVICES OF OTHER DEPTS,81,SERVICES OF OTHER DEPTS (AAO FUNDS),081RR,GF-RENT PAID TO REAL ESTATE,$171457.00,$171457.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Recoveries,86,EXPENDITURE RECOVERY,86,EXPEND RECOVERY FOR SVCS TO AAO FUNDS,086AD,EXP REC FR ADMINISTRATIVE SERVICES (AAO),$-332975.00,$-429388.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Recoveries,86,EXPENDITURE RECOVERY,86,EXPEND RECOVERY FOR SVCS TO AAO FUNDS,086BE,EXP REC FR BUS & ENC DEV (AAO),$-50000.00,$-50000.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Recoveries,86,EXPENDITURE RECOVERY,86,EXPEND RECOVERY FOR SVCS TO AAO FUNDS,086BI,EXP REC FR BLDG INSPECTION (AAO),$-75001.00,$-75001.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Recoveries,86,EXPENDITURE RECOVERY,86,EXPEND RECOVERY FOR SVCS TO AAO FUNDS,086CA,EXP REC FR ADM (AAO),$-406207.00,$-431342.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Recoveries,86,EXPENDITURE RECOVERY,86,EXPEND RECOVERY FOR SVCS TO AAO FUNDS,086CD,EXP REC FR CHILD SUPPORT SERVICES(AAO),$-5000.00,$-5000.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Recoveries,86,EXPENDITURE RECOVERY,86,EXPEND RECOVERY FOR SVCS TO AAO FUNDS,086CI,EXP REC FR CHILDREN AND FAMILIES (AAO),$-185960.00,$-147772.00
ADM,GENERAL SERVICES AGENCY - CITY ADMIN,ADM01,ADMINISTRATION,FAC,CITY ADMINISTRATOR - ADMINISTRATION,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Recoveries,86,EXPENDITURE RECOVERY,86,EXPEND RECOVERY FOR SVCS TO AAO FUNDS,086PO,EXP REC FR PORT COMMISSION (AAO),$-129737.00,$-79737.00
